Run,Number,Section,Index,Time,Value
1,1,1,1,0.0167,3.0909
1,1,1,2,0.0333,-2.8626
1,1,1,3,0.0500,4.9181
1,1,1,4,0.0667,-1.7589
1,1,1,5,0.0833,14.2732
1,1,1,6,0.1000,-4.0044
1,1,1,7,0.1167,1.9149
1,1,1,8,0.1333,-7.3514
1,1,1,9,0.1500,-2.1635
1,1,1,10,0.1667,1.0677
1,1,1,11,0.1833,1.9575
1,1,1,12,0.2000,8.1709
1,1,1,13,0.2167,3.9057
1,1,1,14,0.2333,-4.1548
1,1,1,15,0.2500,0.9403
1,1,1,16,0.2667,-0.6490
1,1,1,17,0.2833,3.6439
1,1,1,18,0.3000,1.2572
1,1,1,19,0.3167,-2.5943
1,1,1,20,0.3333,7.2104
1,1,1,21,0.3500,-9.5775
1,1,1,22,0.3667,0.1764
1,1,1,23,0.3833,8.4471
1,1,1,24,0.4000,-2.3485
1,1,1,25,0.4167,8.9654
1,1,1,26,0.4333,-10.1452
1,1,1,27,0.4500,-11.8232
1,1,1,28,0.4667,1.4878
1,1,1,29,0.4833,6.8564
1,1,1,30,0.5000,-8.1107
1,1,1,31,0.5167,-6.2638
1,1,1,32,0.5333,0.0612
1,1,1,33,0.5500,-6.4754
1,1,1,34,0.5667,2.9590
1,1,1,35,0.5833,0.6199
1,1,1,36,0.6000,2.7490
1,1,1,37,0.6167,6.3998
1,1,1,38,0.6333,-1.9444
1,1,1,39,0.6500,-1.2233
1,1,1,40,0.6667,-7.2392
1,1,1,41,0.6833,-13.5924
1,1,1,42,0.7000,-12.5991
1,1,1,43,0.7167,-10.1709
1,1,1,44,0.7333,3.6793
1,1,1,45,0.7500,8.6330
1,1,1,46,0.7667,-3.3369
1,1,1,47,0.7833,5.9139
1,1,1,48,0.8000,-3.9087
1,1,1,49,0.8167,2.4399
1,1,1,50,0.8333,-7.1909
1,1,1,51,0.8500,1.4813
1,1,1,52,0.8667,-8.2870
1,1,1,53,0.8833,-3.2292
1,1,1,54,0.9000,0.4915
1,1,1,55,0.9167,0.4267
1,1,1,56,0.9333,-3.4358
1,1,1,57,0.9500,-3.5757
