Run,Trial,Condition,Onset,Duration,ISI,Context,Emotion,Order,ContextFile,FaceFile,FaceNum,Gender
1,1,1,10,5,2.2598,Pleasant,Happy,1,1463.jpg,11F_H.png,11,Female
1,2,2,17.2598,5,2.3653,Pleasant,Fearful,1,5202.jpg,10F_F.png,10,Female
1,3,6,24.6251,5,2.4026,Unpleasant,Neutral,1,2141.jpg,15F_N.png,15,Female
1,4,3,32.0278,5,2.4382,Pleasant,Neutral,1,8496.jpg,02F_N.png,02,Female
1,5,5,39.466,5,3.24,Unpleasant,Happy,1,9520.jpg,30M_H.png,30,Male
1,6,1,47.706,5,2.0014,Pleasant,Happy,1,2058.jpg,18F_H.png,18,Female
1,7,4,54.7075,5,2.1592,Unpleasant,Fearful,1,2703.jpg,28M_F.png,28,Male
1,8,2,61.8667,5,2.7921,Pleasant,Fearful,1,5831.jpg,19F_F.png,19,Female
1,9,1,69.6588,5,2.0861,Pleasant,Happy,1,5836.jpg,36M_H.png,36,Male
1,10,3,76.7449,5,2.1188,Pleasant,Neutral,1,8461.jpg,34M_N.png,34,Male
1,11,6,83.8637,5,2.6617,Unpleasant,Neutral,1,2345.1.jpg,35M_N.png,35,Male
1,12,5,91.5254,5,3.4491,Unpleasant,Happy,1,9903.jpg,02F_H.png,02,Female
1,13,4,99.9745,5,3.1013,Unpleasant,Fearful,1,9290.jpg,38M_F.png,38,Male
1,14,3,108.0757,5,2.1045,Pleasant,Neutral,1,8380.jpg,12F_N.png,12,Female
1,15,6,115.1803,5,2.7668,Unpleasant,Neutral,1,9491.jpg,40M_N.png,40,Male
1,16,2,122.9471,5,2.1045,Pleasant,Fearful,1,2304.jpg,33M_F.png,33,Male
1,17,5,130.0516,5,2.2454,Unpleasant,Happy,1,9419.jpg,25M_H.png,25,Male
1,18,1,137.297,5,4.1031,Pleasant,Happy,1,2070.jpg,07F_H.png,07,Female
1,19,4,146.4001,5,5.1061,Unpleasant,Fearful,1,9611.jpg,39M_F.png,39,Male
1,20,6,156.5063,5,2.7379,Unpleasant,Neutral,1,2205.jpg,23M_N.png,23,Male
1,21,2,164.2442,5,2.4867,Pleasant,Fearful,1,1441.jpg,05F_F.png,05,Female
1,22,5,171.7309,5,2.2108,Unpleasant,Happy,1,6200.jpg,17F_H.png,17,Female
1,23,3,178.9417,5,2.1937,Pleasant,Neutral,1,4622.jpg,26M_N.png,26,Male
1,24,3,186.1354,5,2.6806,Pleasant,Neutral,1,5829.jpg,18F_N.png,18,Female
1,25,4,193.816,5,3.6516,Unpleasant,Fearful,1,6242.jpg,01F_F.png,01,Female
1,26,5,202.4676,5,2.7907,Unpleasant,Happy,1,9007.jpg,24M_H.png,24,Male
1,27,6,210.2584,5,4.1222,Unpleasant,Neutral,1,9428.jpg,06F_N.png,06,Female
1,28,1,219.3806,5,3.304,Pleasant,Happy,1,5200.jpg,22M_H.png,22,Male
1,29,4,227.6845,5,3.1656,Unpleasant,Fearful,1,9220.jpg,13F_F.png,13,Female
1,30,2,235.8502,5,2.4472,Pleasant,Fearful,1,2341.jpg,34M_F.png,34,Male
1,31,5,243.2974,5,2.6961,Unpleasant,Happy,1,9427.jpg,38M_H.png,38,Male
1,32,1,250.9934,5,3.9509,Pleasant,Happy,1,7492.jpg,01F_H.png,01,Female
1,33,3,259.9444,5,2.0218,Pleasant,Neutral,1,2156.jpg,13F_N.png,13,Female
1,34,4,266.9662,5,2.5371,Unpleasant,Fearful,1,9295.jpg,08F_F.png,08,Female
1,35,2,274.5033,5,3.615,Pleasant,Fearful,1,1920.jpg,18F_F.png,18,Female
1,36,3,283.1182,5,2.3646,Pleasant,Neutral,1,2360.jpg,08F_N.png,08,Female
1,37,4,290.4829,5,3.2418,Unpleasant,Fearful,1,2900.jpg,07F_F.png,07,Female
1,38,6,298.7246,5,3.6536,Unpleasant,Neutral,1,9832.jpg,20M_N.png,20,Male
1,39,5,307.3782,5,3.3874,Unpleasant,Happy,1,9120.jpg,03F_H.png,03,Female
1,40,1,315.7655,5,2.0861,Pleasant,Happy,1,8540.jpg,14F_H.png,14,Female
1,41,1,322.8516,5,2.6532,Pleasant,Happy,1,8210.jpg,16F_H.png,16,Female
1,42,3,330.5048,5,4.9049,Pleasant,Neutral,1,1604.jpg,32M_N.png,32,Male
1,43,2,340.4097,5,3.6516,Pleasant,Fearful,1,2398.jpg,12F_F.png,12,Female
1,44,4,349.0613,5,2.4592,Unpleasant,Fearful,1,9342.jpg,42M_F.png,42,Male
