Run,Trial,Condition,Onset,Duration,ISI,Context,Emotion,Order,ContextFile,FaceFile,FaceNum,Gender
1,1,1,3,5,2.2598,Pleasant,Happy,1,2156.jpg,16F_H.png,16,Female
1,2,2,17.2598,5,2.3653,Pleasant,Fearful,1,5830.jpg,27M_H.png,27,Male
1,3,6,24.6251,5,2.4026,Unpleasant,Neutral,1,6242.jpg,37M_N.png,37,Male
1,4,3,32.0278,5,2.4382,Pleasant,Neutral,1,7492.jpg,43M_N.png,43,Male
2,1,1,3,5,3.6536,Pleasant,Happy,2,2154.jpg,03F_H.png,3,Female
2,2,2,18.6536,5,2.5118,Pleasant,Fearful,2,7270.jpg,10F_F.png,10,Female
2,3,6,26.1654,5,3.304,Unpleasant,Neutral,2,2703.jpg,39M_N.png,39,Male
2,4,3,34.4693,5,2.3029,Pleasant,Neutral,2,2345.jpg,14F_N.png,14,Female
1,1,1,3,5,2.2598,Pleasant,Happy,2,2156.jpg,16F_H.png,16,Female
1,2,2,17.2598,5,2.3653,Pleasant,Fearful,2,5830.jpg,27M_H.png,27,Male
1,3,6,24.6251,5,2.4026,Unpleasant,Neutral,2,6242.jpg,37M_N.png,37,Male
1,4,3,32.0278,5,2.4382,Pleasant,Neutral,2,7492.jpg,43M_N.png,43,Male
2,1,1,3,5,3.6536,Pleasant,Happy,1,2154.jpg,03F_H.png,3,Female
2,2,2,18.6536,5,2.5118,Pleasant,Fearful,1,7270.jpg,10F_F.png,10,Female
2,3,6,26.1654,5,3.304,Unpleasant,Neutral,1,2703.jpg,39M_N.png,39,Male
2,4,3,34.4693,5,2.3029,Pleasant,Neutral,1,2345.jpg,14F_N.png,14,Female
