Run,Trial,Condition,Onset,Duration,ISI
1,1,1,10,5,2.2598
1,2,2,17.2598,5,2.3653
1,3,6,24.6251,5,2.4026
1,4,3,32.0278,5,2.4382
1,5,5,39.466,5,3.24
1,6,1,47.706,5,2.0014
1,7,4,54.7075,5,2.1592
1,8,2,61.8667,5,2.7921
1,9,1,69.6588,5,2.0861
1,10,3,76.7449,5,2.1188
1,11,6,83.8637,5,2.6617
1,12,5,91.5254,5,3.4491
1,13,4,99.9745,5,3.1013
1,14,3,108.0757,5,2.1045
1,15,6,115.1803,5,2.7668
1,16,2,122.9471,5,2.1045
1,17,5,130.0516,5,2.2454
1,18,1,137.297,5,4.1031
1,19,4,146.4001,5,5.1061
1,20,6,156.5063,5,2.7379
1,21,2,164.2442,5,2.4867
1,22,5,171.7309,5,2.2108
1,23,3,178.9417,5,2.1937
1,24,3,186.1354,5,2.6806
1,25,4,193.816,5,3.6516
1,26,5,202.4676,5,2.7907
1,27,6,210.2584,5,4.1222
1,28,1,219.3806,5,3.304
1,29,4,227.6845,5,3.1656
1,30,2,235.8502,5,2.4472
1,31,5,243.2974,5,2.6961
1,32,1,250.9934,5,3.9509
1,33,3,259.9444,5,2.0218
1,34,4,266.9662,5,2.5371
1,35,2,274.5033,5,3.615
1,36,3,283.1182,5,2.3646
1,37,4,290.4829,5,3.2418
1,38,6,298.7246,5,3.6536
1,39,5,307.3782,5,3.3874
1,40,1,315.7655,5,2.0861
1,41,1,322.8516,5,2.6532
1,42,3,330.5048,5,4.9049
1,43,2,340.4097,5,3.6516
1,44,4,349.0613,5,2.4592
1,45,3,356.5205,5,3.0811
1,46,1,364.6017,5,2.2625
1,47,6,371.8642,5,3.2567
1,48,5,380.1209,5,3.4723
1,49,4,388.5932,5,2.564
1,50,6,396.1572,5,2.2105
1,51,2,403.3678,5,2.2328
1,52,5,410.6006,5,3.2035
1,53,3,418.8041,5,2.7956
1,54,1,426.5996,5,2.1009
1,55,2,433.7006,5,4.3133
1,56,5,443.0138,5,2.4382
1,57,3,450.4521,5,3.1054
1,58,6,458.5574,5,3.787
1,59,2,467.3444,5,3.6516
1,60,1,475.996,5,2.2133
1,61,6,483.2093,5,3.4338
1,62,4,491.6432,5,4.1019
1,63,5,500.7451,5,3.7388
1,64,6,509.4839,5,2.5118
1,65,5,516.9957,5,3.1595
1,66,4,525.1552,5,2.9081
1,67,2,533.0634,5,4.7272
1,68,3,542.7906,5,3.2823
1,69,6,551.0729,5,3.787
1,70,4,559.8598,5,2.4226
1,71,2,567.2824,5,2.2625
1,72,1,574.545,5,10
2,1,1,10,5,3.6536
2,2,2,18.6536,5,2.5118
2,3,6,26.1654,5,3.304
2,4,3,34.4693,5,2.3029
2,5,5,41.7723,5,2.2784
2,6,1,49.0506,5,2.7687
2,7,4,56.8193,5,2.755
2,8,2,64.5743,5,2.8888
2,9,1,72.4631,5,2.6371
2,10,3,80.1002,5,4.1687
2,11,6,89.2689,5,3.6627
2,12,5,97.9316,5,3.9648
2,13,4,106.8964,5,2.4505
2,14,3,114.3469,5,3.1595
2,15,6,122.5065,5,4.4816
2,16,2,131.988,5,3.455
2,17,5,140.443,5,3.9509
2,18,4,149.3939,5,2.7908
2,19,1,157.1848,5,3.2419
2,20,6,165.4267,5,2.1592
2,21,2,172.586,5,2.0376
2,22,5,179.6235,5,2.0233
2,23,3,186.6468,5,2.4732
2,24,3,194.12,5,2.6722
2,25,4,201.7922,5,2.0797
2,26,5,208.8719,5,2.8597
2,27,6,216.7316,5,3.5923
2,28,4,225.3239,5,2.6297
2,29,1,232.9536,5,2.2555
2,30,5,240.2092,5,2.7144
2,31,2,247.9236,5,4.2029
2,32,3,257.1265,5,4.0512
2,33,4,266.1777,5,2.6685
2,34,1,273.8463,5,2.9489
2,35,2,281.7952,5,2.2518
2,36,3,289.0469,5,2.079
2,37,4,296.126,5,3.2089
